	Date	Team	Team_ID	Conf	Conf_ID	G	MP	FG	FGA	FG%	2P	2PA	2P%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	PTS/G	WL	WLC	Team.1	Team_ID.1	Conf.1	Conf_ID.1	G.1	MP.1	FG.1	FGA.1	FG%.1	2P.1	2PA.1	2P%.1	3P.1	3PA.1	3P%.1	FT.1	FTA.1	FT%.1	ORB.1	DRB.1	TRB.1	AST.1	STL.1	BLK.1	TOV.1	PF.1	PTS.1	PTS/G.1	WL.1	WLC.1	Score	Score.1
23	2015	wake-forest	1035	acc	3	32.0	6475.0	762	1809	.421	556	1195	.465	206	614	.336	479	751	.638	375	825	1200	451	208	123	428	579	2209	69.0	.406	.278	virginia-tech	1038	acc	3	33.0	6650.0	779	1747	.446	538	1128	.477	241	619	.389	357	558	.640	274	704	978	395	144	97	386	598	2156	65.3	.333	.111	80	81
24	2015	north-carolina	1028	acc	3	38.0	7650.0	1099	2309	.476	915	1795	.510	184	514	.358	571	814	.701	526	1015	1541	661	251	160	481	738	2953	77.7	.684	.611	boston-college	1036	acc	3	32.0	6499.0	743	1668	.445	536	1030	.520	207	638	.324	412	584	.705	263	720	983	421	183	86	389	607	2105	65.8	.406	.222	81	63
25	2015	florida-state	1034	acc	3	33.0	6650.0	763	1669	.457	616	1199	.514	147	470	.313	524	783	.669	328	781	1109	380	181	157	478	612	2199	66.6	.515	.444	clemson	1033	acc	3	31.0	6250.0	689	1685	.409	518	1113	.465	171	572	.299	395	579	.682	369	753	1122	330	168	148	365	502	1944	62.7	.516	.444	76	73
26	2015	virginia-tech	1038	acc	3	33.0	6650.0	779	1747	.446	538	1128	.477	241	619	.389	357	558	.640	274	704	978	395	144	97	386	598	2156	65.3	.333	.111	miami-fl	1029	acc	3	38.0	7725.0	878	2053	.428	586	1237	.474	292	816	.358	544	729	.746	377	940	1317	488	209	126	385	593	2592	68.2	.658	.556	49	59
27	2015	pittsburgh	1032	acc	3	34.0	6875.0	835	1866	.447	671	1382	.486	164	484	.339	445	650	.685	407	729	1136	561	168	95	336	606	2279	67.0	.559	.444	north-carolina-state	1030	acc	3	36.0	7252.0	895	2054	.436	659	1393	.473	236	661	.357	499	727	.686	435	934	1369	415	138	184	375	637	2525	70.1	.611	.556	70	81
28	2015	north-carolina-state	1030	acc	3	36.0	7252.0	895	2054	.436	659	1393	.473	236	661	.357	499	727	.686	435	934	1369	415	138	184	375	637	2525	70.1	.611	.556	duke	1025	acc	3	39.0	7850.0	1099	2191	.502	816	1459	.559	283	732	.387	610	873	.699	445	991	1436	588	278	149	421	607	3091	79.3	.897	.833	53	77
29	2015	virginia	1024	acc	3	34.0	6850.0	804	1758	.457	634	1275	.497	170	483	.352	446	614	.726	358	874	1232	430	186	143	316	484	2224	65.4	.882	.889	florida-state	1034	acc	3	33.0	6650.0	763	1669	.457	616	1199	.514	147	470	.313	524	783	.669	328	781	1109	380	181	157	478	612	2199	66.6	.515	.444	58	44
30	2015	north-carolina	1028	acc	3	38.0	7650.0	1099	2309	.476	915	1795	.510	184	514	.358	571	814	.701	526	1015	1541	661	251	160	481	738	2953	77.7	.684	.611	louisville	1027	acc	3	36.0	7249.0	878	2048	.429	680	1404	.484	198	644	.307	529	792	.668	454	897	1351	419	283	192	408	623	2483	69.0	.750	.667	70	60
31	2015	notre-dame	1026	acc	3	38.0	7725.0	1050	2061	.509	748	1286	.582	302	775	.390	561	756	.742	313	918	1231	576	256	138	357	540	2963	78.0	.842	.778	miami-fl	1029	acc	3	38.0	7725.0	878	2053	.428	586	1237	.474	292	816	.358	544	729	.746	377	940	1317	488	209	126	385	593	2592	68.2	.658	.556	70	63
32	2015	notre-dame	1026	acc	3	38.0	7725.0	1050	2061	.509	748	1286	.582	302	775	.390	561	756	.742	313	918	1231	576	256	138	357	540	2963	78.0	.842	.778	duke	1025	acc	3	39.0	7850.0	1099	2191	.502	816	1459	.559	283	732	.387	610	873	.699	445	991	1436	588	278	149	421	607	3091	79.3	.897	.833	74	64
33	2015	virginia	1024	acc	3	34.0	6850.0	804	1758	.457	634	1275	.497	170	483	.352	446	614	.726	358	874	1232	430	186	143	316	484	2224	65.4	.882	.889	north-carolina	1028	acc	3	38.0	7650.0	1099	2309	.476	915	1795	.510	184	514	.358	571	814	.701	526	1015	1541	661	251	160	481	738	2953	77.7	.684	.611	67	71
34	2015	notre-dame	1026	acc	3	38.0	7725.0	1050	2061	.509	748	1286	.582	302	775	.390	561	756	.742	313	918	1231	576	256	138	357	540	2963	78.0	.842	.778	north-carolina	1028	acc	3	38.0	7650.0	1099	2309	.476	915	1795	.510	184	514	.358	571	814	.701	526	1015	1541	661	251	160	481	738	2953	77.7	.684	.611	90	82
35	2015	mississippi-state	1050	sec	4	32.0	6401.0	669	1557	.430	536	1123	.477	133	434	.306	506	727	.696	324	775	1099	278	205	90	474	606	1977	61.8	.406	.333	auburn	1051	sec	4	35.0	7075.0	760	1880	.404	508	1153	.441	252	727	.347	606	910	.666	356	748	1104	376	238	89	452	708	2378	67.9	.429	.222	68	74
36	2015	south-carolina	1049	sec	4	33.0	6600.0	735	1819	.404	555	1220	.455	180	599	.301	496	673	.737	406	772	1178	437	208	133	424	634	2146	65.0	.515	.333	missouri	1052	sec	4	32.0	6450.0	683	1694	.403	487	1098	.444	196	596	.329	373	560	.666	327	723	1050	343	179	90	417	624	1935	60.5	.281	.167	63	54
37	2015	florida	1047	sec	4	33.0	6652.0	766	1763	.434	548	1089	.503	218	674	.323	351	553	.635	348	747	1095	431	228	118	409	558	2101	63.7	.485	.444	alabama	1046	sec	4	34.0	6855.0	760	1724	.441	539	1027	.525	221	697	.317	539	752	.717	325	797	1122	350	219	125	407	654	2280	67.1	.559	.444	69	61
38	2015	texas-am	1043	sec	4	33.0	6649.0	805	1778	.453	624	1257	.496	181	521	.347	445	676	.658	374	823	1197	485	186	97	410	595	2236	67.8	.636	.611	auburn	1051	sec	4	35.0	7075.0	760	1880	.404	508	1153	.441	252	727	.347	606	910	.666	356	748	1104	376	238	89	452	708	2378	67.9	.429	.222	59	66
39	2015	south-carolina	1049	sec	4	33.0	6600.0	735	1819	.404	555	1220	.455	180	599	.301	496	673	.737	406	772	1178	437	208	133	424	634	2146	65.0	.515	.333	mississippi	1044	sec	4	34.0	6845.0	848	2003	.423	628	1341	.468	220	662	.332	559	723	.773	430	854	1284	450	225	128	378	668	2475	72.8	.618	.611	60	58
40	2015	vanderbilt	1045	sec	4	35.0	7099.0	838	1775	.472	583	1124	.519	255	651	.392	541	764	.708	339	845	1184	541	168	186	452	603	2472	70.6	.600	.500	tennessee	1048	sec	4	32.0	6425.0	725	1706	.425	531	1120	.474	194	586	.331	381	551	.691	396	644	1040	350	247	108	387	625	2025	63.3	.500	.389	61	67
41	2015	tennessee	1048	sec	4	32.0	6425.0	725	1706	.425	531	1120	.474	194	586	.331	381	551	.691	396	644	1040	350	247	108	387	625	2025	63.3	.500	.389	arkansas	1040	sec	4	36.0	7252.0	978	2196	.445	740	1515	.488	238	681	.349	593	819	.724	470	820	1290	579	277	168	430	684	2787	77.4	.750	.722	72	80
42	2015	louisiana-state	1041	sec	4	33.0	6750.0	892	1962	.455	703	1404	.501	189	558	.339	450	658	.684	401	893	1294	516	240	204	476	516	2423	73.4	.667	.611	auburn	1051	sec	4	35.0	7075.0	760	1880	.404	508	1153	.441	252	727	.347	606	910	.666	356	748	1104	376	238	89	452	708	2378	67.9	.429	.222	70	73
43	2015	kentucky	1039	sec	4	39.0	7873.0	1006	2150	.468	803	1568	.512	203	582	.349	685	943	.726	491	991	1482	553	253	268	408	665	2900	74.4	.974	1.000	florida	1047	sec	4	33.0	6652.0	766	1763	.434	548	1089	.503	218	674	.323	351	553	.635	348	747	1095	431	228	118	409	558	2101	63.7	.485	.444	64	49
44	2015	south-carolina	1049	sec	4	33.0	6600.0	735	1819	.404	555	1220	.455	180	599	.301	496	673	.737	406	772	1178	437	208	133	424	634	2146	65.0	.515	.333	georgia	1042	sec	4	33.0	6755.0	747	1730	.432	563	1192	.472	184	538	.342	572	826	.692	360	900	1260	411	183	151	420	608	2250	68.2	.636	.611	62	74
45	2015	georgia	1042	sec	4	33.0	6755.0	747	1730	.432	563	1192	.472	184	538	.342	572	826	.692	360	900	1260	411	183	151	420	608	2250	68.2	.636	.611	arkansas	1040	sec	4	36.0	7252.0	978	2196	.445	740	1515	.488	238	681	.349	593	819	.724	470	820	1290	579	277	168	430	684	2787	77.4	.750	.722	49	60
46	2015	kentucky	1039	sec	4	39.0	7873.0	1006	2150	.468	803	1568	.512	203	582	.349	685	943	.726	491	991	1482	553	253	268	408	665	2900	74.4	.974	1.000	auburn	1051	sec	4	35.0	7075.0	760	1880	.404	508	1153	.441	252	727	.347	606	910	.666	356	748	1104	376	238	89	452	708	2378	67.9	.429	.222	91	67
47	2015	kentucky	1039	sec	4	39.0	7873.0	1006	2150	.468	803	1568	.512	203	582	.349	685	943	.726	491	991	1482	553	253	268	408	665	2900	74.4	.974	1.000	arkansas	1040	sec	4	36.0	7252.0	978	2196	.445	740	1515	.488	238	681	.349	593	819	.724	470	820	1290	579	277	168	430	684	2787	77.4	.750	.722	78	63
48	2015	southern-california	1064	pac-12	5	32.0	6500.0	787	1863	.422	617	1346	.458	170	517	.329	399	629	.634	366	783	1149	397	208	133	446	565	2143	67.0	.375	.167	arizona-state	1058	pac-12	5	34.0	6924.0	809	1818	.445	578	1158	.499	231	660	.350	511	766	.667	365	819	1184	431	199	79	474	638	2360	69.4	.529	.500	67	64
49	2015	oregon-state	1059	pac-12	5	31.0	6225.0	665	1577	.422	505	1082	.467	160	495	.323	397	573	.693	293	680	973	373	241	123	365	590	1887	60.9	.548	.444	colorado	1061	pac-12	5	34.0	6899.0	812	1861	.436	633	1326	.477	179	535	.335	542	760	.713	400	869	1269	400	194	133	450	614	2345	69.0	.471	.389	71	78
50	2015	washington	1063	pac-12	5	31.0	6226.0	765	1747	.438	572	1168	.490	193	579	.333	405	593	.683	329	753	1082	412	152	153	361	535	2128	68.6	.516	.278	stanford	1057	pac-12	5	37.0	7525.0	908	2089	.435	662	1438	.460	246	651	.378	614	846	.726	428	935	1363	435	204	102	399	708	2676	72.3	.649	.500	69	71
51	2015	washington-state	1062	pac-12	5	31.0	6275.0	743	1712	.434	529	1086	.487	214	626	.342	489	679	.720	282	744	1026	453	120	102	367	570	2189	70.6	.419	.389	california	1060	pac-12	5	33.0	6649.0	821	1868	.440	636	1353	.470	185	515	.359	368	567	.649	299	871	1170	412	137	127	365	627	2195	66.5	.545	.389	59	84
52	2015	california	1060	pac-12	5	33.0	6649.0	821	1868	.440	636	1353	.470	185	515	.359	368	567	.649	299	871	1170	412	137	127	365	627	2195	66.5	.545	.389	arizona	1053	pac-12	5	38.0	7625.0	1009	2068	.488	816	1532	.533	193	536	.360	700	974	.719	411	988	1399	528	275	131	419	681	2911	76.6	.895	.889	51	73
53	2015	oregon	1055	pac-12	5	36.0	7300.0	992	2143	.463	729	1417	.514	263	726	.362	466	613	.760	372	926	1298	508	207	157	421	655	2713	75.4	.722	.722	colorado	1061	pac-12	5	34.0	6899.0	812	1861	.436	633	1326	.477	179	535	.335	542	760	.713	400	869	1269	400	194	133	450	614	2345	69.0	.471	.389	93	85
54	2015	ucla	1056	pac-12	5	36.0	7250.0	930	2099	.443	707	1493	.474	223	606	.368	507	750	.676	440	927	1367	498	238	139	430	645	2590	71.9	.611	.611	southern-california	1064	pac-12	5	32.0	6500.0	787	1863	.422	617	1346	.458	170	517	.329	399	629	.634	366	783	1149	397	208	133	446	565	2143	67.0	.375	.167	96	70
55	2015	utah	1054	pac-12	5	35.0	7024.0	849	1760	.482	585	1106	.529	264	654	.404	534	760	.703	322	882	1204	489	208	175	407	581	2496	71.3	.743	.722	stanford	1057	pac-12	5	37.0	7525.0	908	2089	.435	662	1438	.460	246	651	.378	614	846	.726	428	935	1363	435	204	102	399	708	2676	72.3	.649	.500	80	56
56	2015	ucla	1056	pac-12	5	36.0	7250.0	930	2099	.443	707	1493	.474	223	606	.368	507	750	.676	440	927	1367	498	238	139	430	645	2590	71.9	.611	.611	arizona	1053	pac-12	5	38.0	7625.0	1009	2068	.488	816	1532	.533	193	536	.360	700	974	.719	411	988	1399	528	275	131	419	681	2911	76.6	.895	.889	64	70
57	2015	utah	1054	pac-12	5	35.0	7024.0	849	1760	.482	585	1106	.529	264	654	.404	534	760	.703	322	882	1204	489	208	175	407	581	2496	71.3	.743	.722	oregon	1055	pac-12	5	36.0	7300.0	992	2143	.463	729	1417	.514	263	726	.362	466	613	.760	372	926	1298	508	207	157	421	655	2713	75.4	.722	.722	64	67
58	2015	oregon	1055	pac-12	5	36.0	7300.0	992	2143	.463	729	1417	.514	263	726	.362	466	613	.760	372	926	1298	508	207	157	421	655	2713	75.4	.722	.722	arizona	1053	pac-12	5	38.0	7625.0	1009	2068	.488	816	1532	.533	193	536	.360	700	974	.719	411	988	1399	528	275	131	419	681	2911	76.6	.895	.889	52	80
59	2015	texas-christian	1073	big-12	6	33.0	6650.0	791	1809	.437	641	1350	.475	150	459	.327	517	841	.615	445	769	1214	435	207	176	395	681	2249	68.2	.545	.222	kansas-state	1072	big-12	6	32.0	6425.0	690	1593	.433	549	1172	.468	141	421	.335	495	732	.676	338	677	1015	417	195	74	424	639	2016	63.0	.469	.444	67	65
60	2015	texas-tech	1074	big-12	6	32.0	6450.0	652	1610	.405	483	1086	.445	169	524	.323	476	742	.642	374	698	1072	356	187	131	442	558	1949	60.9	.406	.167	texas	1070	big-12	6	34.0	6875.0	796	1837	.433	584	1211	.482	212	626	.339	486	671	.724	422	929	1351	442	128	265	435	555	2290	67.4	.588	.444	53	65
61	2015	west-virginia	1068	big-12	6	35.0	7050.0	872	2138	.408	645	1419	.455	227	719	.316	571	863	.662	575	697	1272	494	376	96	453	821	2542	72.6	.714	.611	baylor	1069	big-12	6	34.0	6850.0	813	1874	.434	577	1248	.462	236	626	.377	487	723	.674	497	836	1333	497	263	132	434	565	2349	69.1	.706	.611	70	80
62	2015	texas	1070	big-12	6	34.0	6875.0	796	1837	.433	584	1211	.482	212	626	.339	486	671	.724	422	929	1351	442	128	265	435	555	2290	67.4	.588	.444	iowa-state	1066	big-12	6	34.0	6800.0	940	1973	.476	677	1247	.543	263	726	.362	502	721	.696	323	898	1221	546	218	133	375	527	2645	77.8	.735	.667	67	69
63	2015	texas-christian	1073	big-12	6	33.0	6650.0	791	1809	.437	641	1350	.475	150	459	.327	517	841	.615	445	769	1214	435	207	176	395	681	2249	68.2	.545	.222	kansas	1065	big-12	6	36.0	7225.0	869	1976	.440	656	1414	.464	213	562	.379	610	842	.724	426	938	1364	475	237	175	463	639	2561	71.1	.750	.722	59	64
64	2015	oklahoma-state	1071	big-12	6	32.0	6450.0	733	1667	.440	507	1020	.497	226	647	.349	468	645	.726	287	752	1039	366	253	156	392	614	2160	67.5	.563	.444	oklahoma	1067	big-12	6	35.0	7050.0	885	2035	.435	649	1347	.482	236	688	.343	495	668	.741	389	943	1332	430	237	174	419	570	2501	71.5	.686	.667	49	64
65	2015	kansas	1065	big-12	6	36.0	7225.0	869	1976	.440	656	1414	.464	213	562	.379	610	842	.724	426	938	1364	475	237	175	463	639	2561	71.1	.750	.722	baylor	1069	big-12	6	34.0	6850.0	813	1874	.434	577	1248	.462	236	626	.377	487	723	.674	497	836	1333	497	263	132	434	565	2349	69.1	.706	.611	62	52
66	2015	oklahoma	1067	big-12	6	35.0	7050.0	885	2035	.435	649	1347	.482	236	688	.343	495	668	.741	389	943	1332	430	237	174	419	570	2501	71.5	.686	.667	iowa-state	1066	big-12	6	34.0	6800.0	940	1973	.476	677	1247	.543	263	726	.362	502	721	.696	323	898	1221	546	218	133	375	527	2645	77.8	.735	.667	65	67
67	2015	kansas	1065	big-12	6	36.0	7225.0	869	1976	.440	656	1414	.464	213	562	.379	610	842	.724	426	938	1364	475	237	175	463	639	2561	71.1	.750	.722	iowa-state	1066	big-12	6	34.0	6800.0	940	1973	.476	677	1247	.543	263	726	.362	502	721	.696	323	898	1221	546	218	133	375	527	2645	77.8	.735	.667	66	70
68	2016	depaul	1007	big-east	1	31.0	6225.0	752	1691	.445	584	1201	.486	168	490	.343	420	618	.680	317	742	1059	366	150	95	458	687	2092	67.5	.290	.167	georgetown	1002	big-east	1	33.0	6675.0	820	1858	.441	559	1088	.514	261	770	.339	529	704	.751	316	865	1181	492	180	146	442	755	2430	73.6	.455	.389	53	70
69	2016	st-johns-ny	1004	big-east	1	32.0	6400.0	757	1864	.406	551	1231	.448	206	633	.325	454	714	.636	345	797	1142	413	202	175	491	680	2174	67.9	.250	.056	marquette	1009	big-east	1	33.0	6700.0	884	1888	.468	690	1316	.524	194	572	.339	555	764	.726	311	868	1179	533	258	137	485	620	2517	76.3	.606	.444	93	101
70	2016	butler	1001	big-east	1	33.0	6625.0	918	1969	.466	682	1368	.499	236	601	.393	566	774	.731	366	822	1188	468	227	107	335	646	2638	79.9	.667	.556	providence	1003	big-east	1	35.0	7075.0	881	2093	.421	632	1317	.480	249	776	.321	566	781	.725	402	861	1263	550	229	123	397	591	2577	73.6	.686	.556	60	74
71	2016	creighton	1008	big-east	1	35.0	7000.0	979	2081	.470	696	1277	.545	283	804	.352	546	780	.700	334	965	1299	537	211	108	406	661	2787	79.6	.571	.500	seton-hall	1006	big-east	1	34.0	6825.0	892	1999	.446	686	1405	.488	206	594	.347	532	808	.658	438	917	1355	455	251	155	469	636	2522	74.2	.735	.667	73	81
72	2016	georgetown	1002	big-east	1	33.0	6675.0	820	1858	.441	559	1088	.514	261	770	.339	529	704	.751	316	865	1181	492	180	146	442	755	2430	73.6	.455	.389	villanova	1000	big-east	1	40.0	8025.0	1086	2247	.483	739	1288	.574	347	959	.362	599	766	.782	351	1034	1385	637	282	136	440	681	3118	78.0	.875	.889	67	81
73	2016	marquette	1009	big-east	1	33.0	6700.0	884	1888	.468	690	1316	.524	194	572	.339	555	764	.726	311	868	1179	533	258	137	485	620	2517	76.3	.606	.444	xavier	1005	big-east	1	34.0	6800.0	928	2054	.452	673	1352	.498	255	702	.363	626	857	.730	436	951	1387	548	246	101	429	678	2737	80.5	.824	.778	72	90
74	2016	providence	1003	big-east	1	35.0	7075.0	881	2093	.421	632	1317	.480	249	776	.321	566	781	.725	402	861	1263	550	229	123	397	591	2577	73.6	.686	.556	villanova	1000	big-east	1	40.0	8025.0	1086	2247	.483	739	1288	.574	347	959	.362	599	766	.782	351	1034	1385	637	282	136	440	681	3118	78.0	.875	.889	68	76
75	2016	seton-hall	1006	big-east	1	34.0	6825.0	892	1999	.446	686	1405	.488	206	594	.347	532	808	.658	438	917	1355	455	251	155	469	636	2522	74.2	.735	.667	xavier	1005	big-east	1	34.0	6800.0	928	2054	.452	673	1352	.498	255	702	.363	626	857	.730	436	951	1387	548	246	101	429	678	2737	80.5	.824	.778	87	83
